p_Origin,p_Destination,p_DepartureStation,p_ArrivalStation
Barcelona,París,BCN,ORY
Barcelona,Madrid,BCN,MAD
Barcelona,Ibiza,BCN,IBZ
Amsterdam,Barcelona,AMS,BCN
Barcelona,Palma de Mallorca,BCN,PMI
Barcelona,Roma,BCN,FCO
Barcelona,Menorca,BCN,MAH
Barcelona,París,BCN,ORY
Barcelona,Madrid,BCN,MAD
Barcelona,Ibiza,BCN,IBZ
Amsterdam,Barcelona,AMS,BCN
Barcelona,Palma de Mallorca,BCN,PMI
Barcelona,Roma,BCN,FCO
Barcelona,Menorca,BCN,MAH
Barcelona,París,BCN,ORY
Barcelona,Madrid,BCN,MAD
Barcelona,Ibiza,BCN,IBZ
Amsterdam,Barcelona,AMS,BCN
Barcelona,Palma de Mallorca,BCN,PMI
Barcelona,Roma,BCN,FCO
Barcelona,Menorca,BCN,MAH
Barcelona,París,BCN,ORY
Barcelona,Madrid,BCN,MAD
Barcelona,Ibiza,BCN,IBZ
Amsterdam,Barcelona,AMS,BCN
Barcelona,Palma de Mallorca,BCN,PMI
Barcelona,Roma,BCN,FCO
Barcelona,Menorca,BCN,MAH
Barcelona,París,BCN,ORY
Barcelona,Madrid,BCN,MAD
Barcelona,Ibiza,BCN,IBZ
Amsterdam,Barcelona,AMS,BCN
Barcelona,Palma de Mallorca,BCN,PMI
Barcelona,Roma,BCN,FCO
Barcelona,Menorca,BCN,MAH
Barcelona,París,BCN,ORY
Barcelona,Madrid,BCN,MAD
Barcelona,Ibiza,BCN,IBZ
Amsterdam,Barcelona,AMS,BCN
Barcelona,Palma de Mallorca,BCN,PMI
Barcelona,Roma,BCN,FCO
Barcelona,Menorca,BCN,MAH
Barcelona,París,BCN,ORY
Barcelona,Madrid,BCN,MAD
Barcelona,Ibiza,BCN,IBZ
Amsterdam,Barcelona,AMS,BCN
Barcelona,Palma de Mallorca,BCN,PMI
Barcelona,Roma,BCN,FCO
Barcelona,Menorca,BCN,MAH
Barcelona,París,BCN,ORY
Barcelona,Madrid,BCN,MAD
Barcelona,Ibiza,BCN,IBZ
Amsterdam,Barcelona,AMS,BCN
Barcelona,Palma de Mallorca,BCN,PMI
Barcelona,Roma,BCN,FCO
Barcelona,Menorca,BCN,MAH
Roma,Madrid,FCO,MAD
Londres,Madrid,LGW,MAD
Roma,Madrid,FCO,MAD
Londres,Madrid,LGW,MAD
Roma,Madrid,FCO,MAD
Londres,Madrid,LGW,MAD
Roma,Madrid,FCO,MAD
Londres,Madrid,LGW,MAD
Roma,Madrid,FCO,MAD
Londres,Madrid,LGW,MAD
Roma,Madrid,FCO,MAD
Londres,Madrid,LGW,MAD
Roma,Madrid,FCO,MAD
París,Madrid,ORY,MAD
París,Madrid,ORY,MAD
París,Madrid,ORY,MAD
París,Madrid,ORY,MAD
París,Madrid,ORY,MAD
París,Madrid,ORY,MAD
París,Madrid,ORY,MAD
París,Madrid,ORY,MAD
París,Madrid,ORY,MAD
París,Madrid,ORY,MAD
París,Madrid,ORY,MAD
París,Madrid,ORY,MAD
París,Madrid,ORY,MAD
París,Madrid,ORY,MAD
París,Madrid,ORY,MAD
París,Madrid,ORY,MAD
París,Madrid,ORY,MAD
